Year,County,Total
2018,Albany,1755
2018,Allegany,56
2018,Broome,892
2018,Cattaraugus,383
2018,Cayuga,730
2018,Chautaugua,873
2018,Chemung,204
2018,Chenango,244
2018,Clinton,141
2018,Columbia,171
2018,Cortland,226
2018,Delaware,131
2018,Dutchess,923
2018,Erie,5191
2018,Essex,67
2018,Franklin,114
2018,Fulton,572
2018,Genesee,342
2018,Greene,69
2018,Hamilton,3
2018,Herkimer,154
2018,Jefferson,695
2018,Lewis,50
2018,Livingston,161
2018,Madison,279
2018,Monroe,5553
2018,Montgomery,245
2018,Nassau,1827
2018,Niagara,1233
2018,Oneida,1725
2018,Onondaga,4870
2018,Ontario,258
2018,Orange,2131
2018,Orleans,182
2018,Oswego,544
2018,Otsego,67
2018,Putnam,52
2018,Rensselaer,1098
2018,Rockland,722
2018,St. Lawrence,325
2018,Saratoga,736
2018,Schenectady,416
2018,Schoharie,29
2018,Schuyler,29
2018,Seneca,120
2018,Steuben,265
2018,Suffolk,4782
2018,Sullivan,209
2018,Tioga,107
2018,Tompkins,249
2018,Ulster,632
2018,Warren,240
2018,Washington,151
2018,Wayne,390
2018,Westchester,1825
2018,Wyoming,73
2018,Yates,47
2019,Albany,1510
2019,Allegany,84
2019,Broome,919
2019,Cattaraugus,339
2019,Cayuga,194
2019,Chautaugua,853
2019,Chemung,215
2019,Chenango,263
2019,Clinton,127
2019,Columbia,158
2019,Cortland,249
2019,Delaware,131
2019,Dutchess,802
2019,Erie,5310
2019,Essex,64
2019,Franklin,63
2019,Fulton,496
2019,Genesee,361
2019,Greene,65
2019,Hamilton,1
2019,Herkimer,174
2019,Jefferson,668
2019,Lewis,59
2019,Livingston,192
2019,Madison,340
2019,Monroe,5355
2019,Montgomery,195
2019,Nassau,3015
2019,Niagara,1225
2019,Oneida,1497
2019,Onondaga,4818
2019,Ontario,322
2019,Orange,1809
2019,Orleans,167
2019,Oswego,507
2019,Otsego,95
2019,Putnam,72
2019,Rensselaer,1157
2019,Rockland,726
2019,St. Lawrence,321
2019,Saratoga,466
2019,Schenectady,1441
2019,Schoharie,46
2019,Schuyler,24
2019,Seneca,119
2019,Steuben,210
2019,Suffolk,4748
2019,Sullivan,211
2019,Tioga,95
2019,Tompkins,270
2019,Ulster,548
2019,Warren,171
2019,Washington,123
2019,Wayne,428
2019,Westchester,1694
2019,Wyoming,60
2019,Yates,66
